keys,ru,en
"dialogAwakingText1","Незнакомый голос: Восстань!","Unfamiliar voice: Arise!"
"dialogAwakingText2","Восстань? Куда, зачем? В Рай? Ад? Пока непонятно. Ощущения такие же, как и при жизни. Хотя нет, погодите-ка, что-то не так.","Rise? Where to, why? Heaven? Hell? I don't know yet. It feels the same as it did when I was alive. No, wait a minute, something's wrong."
"dialogAwakingText3","Что это за странное чувство? Оно кричит, требует внимания, кажется таким знакомым...","What is this strange feeling? It screams, it demands attention, it seems so familiar...."
"dialogAwakingText4","Так стоп, а разве дух, мертвец или что я там сейчас должен испытывать подобные ощущения?","So wait, can a spirit or a dead person or whatever I am right now experience this kind of feeling?"
"dialogAwakingText5","Почему я дух или мертвец? Ну это же очевидно. Я очень хорошо это помню. Я умер.","Why am I a spirit or a dead man? Well, it's obvious. I remember it very well. I'm dead."
"dialogAwakingOption1","Вспомнить свою смерть.","Remember your death."
"dialogAwakingOption2","Прислушаться к ощущениям","Listen to what you feel."
"dialogDeathMemoryText1","Мы тогда защищали город от наступающей нежити. Бои длились уже несколько дней, нас все сильнее и сильнее теснили, времени на отдых было очень мало. Многие валились с ног от усталости, руки едва удерживали оружие, пальцы так и норовили разжаться, но сдаться сейчас означало обречь на гибель всех жителей. Умереть же означало рано или поздно пополнить ряды противника.","We were defending the town from the invading undead. The fighting had been going on for days, we were being pushed harder and harder, and there was very little time to rest. Many of us were exhausted, our hands could barely hold our weapons, our fingers were trying to unclench, but to surrender now was to doom all the citizens. To die meant that sooner or later they would join the ranks of the enemy."
"dialogDeathMemoryText2","Но только если твое бренное тело останется лежать на поле боя. После схватки, во времена редкого затишья, все старались вытащить как можно больше павших товарищей с поля. Никто не обращал внимания на фракцию, был ли погибший другом или соперником. Главное ослабить противника, не позволить проклятию пополнить ряды нежити бывшими товарищами. Побороть проклятие можно многими способами. Гномы сжигают трупы, люди хоронят их на освященной земле. У эльфов тоже был какой-то свой особый ритуал, но о нем, за исключением самих эльфов, знали немногие, а те, кто знали, не распространялись об этом. Заслужить доверие эльфа крайне сложно, а потерять невероятно легко.","But only if your mortal body is left lying on the battlefield. After a battle, during the rare lulls, everyone tried to drag as many of their fallen comrades off the field as possible. No one paid attention to faction, whether the dead was a friend or a rival. The main thing is to weaken the enemy, not to allow the curse to replenish the ranks of the undead with former comrades. There are many ways to defeat the curse. Dwarves burn corpses, people bury them in consecrated ground. The elves also had their own special ritual, but few people knew about it, except the elves themselves, and those who did, did not spread it. It was extremely difficult to earn an elf's trust, and incredibly easy to lose it."
"dialogDeathMemoryText3","Это был уже восьмой или девятый день битвы. Нас прижали к стенам, усталость достигла своего пика. Попытавшись заблокировать очередной удар, моя рука дрогнула, пальцы на долю мгновения разжались и меч был выбит из рук.","It was already the eighth or ninth day of the battle. We were pinned against the walls, fatigue at its peak. As I tried to block another blow, my hand trembled, my fingers unclenched for a split second, and my sword was knocked out of my hands."
